   (195) Eurykleia                       1879 04 19  Pola                     Palisa, J.
   (196) Philomela                       1879 05 14  Clinton                  Peters, C. H. F.
   (197) Arete                           1879 05 21  Pola                     Palisa, J.
   (198) Ampella                         1879 06 13  Marseilles               Borrelly, A.
   (199) Byblis                          1879 07 09  Clinton                  Peters, C. H. F.
   (200) Dynamene                        1879 07 27  Clinton                  Peters, C. H. F.
   (201) Penelope                        1879 08 07  Pola                     Palisa, J.
   (202) Chryseïs                        1879 09 11  Clinton                  Peters, C. H. F.
   (203) Pompeja                         1879 09 25  Clinton                  Peters, C. H. F.
   (204) Kallisto                        1879 10 08  Pola                     Palisa, J.
   (205) Martha                          1879 10 13  Pola                     Palisa, J.
   (206) Hersilia                        1879 10 13  Clinton                  Peters, C. H. F.
   (207) Hedda                           1879 10 17  Pola                     Palisa, J.
   (208) Lacrimosa                       1879 10 21  Pola                     Palisa, J.
   (209) Dido                            1879 10 22  Clinton                  Peters, C. H. F.
   (210) Isabella                        1879 11 12  Pola                     Palisa, J.
   (211) Isolda                          1879 12 10  Pola                     Palisa, J.
   (212) Medea                           1880 02 06  Pola                     Palisa, J.
   (213) Lilaea                          1880 02 16  Clinton                  Peters, C. H. F.
   (214) Aschera                         1880 02 29  Pola                     Palisa, J.
   (215) Oenone                          1880 04 07  Berlin                   Knorre, V.
   (216) Kleopatra                       1880 04 10  Pola                     Palisa, J.
   (217) Eudora                          1880 08 30  Marseilles               Coggia, J.
   (218) Bianca                          1880 09 04  Pola                     Palisa, J.
   (219) Thusnelda                       1880 09 30  Pola                     Palisa, J.
   (220) Stephania                       1881 05 19  Vienna                   Palisa, J.
   (221) Eos                             1882 01 18  Vienna                   Palisa, J.
   (222) Lucia                           1882 02 09  Vienna                   Palisa, J.
   (223) Rosa                            1882 03 09  Vienna                   Palisa, J.
   (224) Oceana                          1882 03 30  Vienna                   Palisa, J.
   (225) Henrietta                       1882 04 19  Vienna                   Palisa, J.
   (226) Weringia                        1882 07 19  Vienna                   Palisa, J.
   (227) Philosophia                     1882 08 12  Paris                    Henry, P. P.
   (228) Agathe                          1882 08 19  Vienna                   Palisa, J.
   (229) Adelinda                        1882 08 22  Vienna                   Palisa, J.
   (230) Athamantis                      1882 09 03  Bothkamp                 de Ball, K.
   (231) Vindobona                       1882 09 10  Vienna                   Palisa, J.
   (232) Russia                          1883 01 31  Vienna                   Palisa, J.
   (233) Asterope                        1883 05 11  Marseilles               Borrelly, A.
